canonical_smiles	IC50	CID
CC(=O)N1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(C)ccc4C#N)cc3)cc3[nH]nc(C)c23)CC1	3.2	136213550.0
CC(=O)N1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)cc3[nH]nc(C)c23)CC1	11.0	136213537.0
CC(=O)N1CCC(Oc2nc(-c3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc3)cc3[nH]nc(C)c23)CC1	2.8	136213552.0
CC(=O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	5000.0	45267446.0
CC(C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4ccc5ccccc5c4)cc23)cc1	125.0	45273462.0
CC(C)(C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4ccc5ccccc5c4)cc23)cc1	466.5	45268304.0
CC(C)(C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4cccc(C#N)c4)cc23)cc1	1020.0	45273473.0
CC(C)(C(=O)O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	755.0	45272590.0
CC(C)(CO)COc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]ncc12	7.1	136213088.0
CC(C)(CO)COc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)cc2)nc2[nH]ncc12	8.3	136213087.0
CC(C)(CO)COc1nc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3Cl)cc2)nc2[nH]ncc12	120.0	136213089.0
CC(C)(N)c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1	250000.0	9819282.0
CC(C)(O)CCCOc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)cc2)nc2[nH]ncc12	11.0	136213111.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3Cl)cc2)nc2[nH]nc(N)c12	130.0	118720603.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)ccc3F)cc2)nc2[nH]nc(N)c12	20.0	136213308.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(Cl)sc3Cl)cc2)nc2[nH]nc(N)c12	100.0	136213304.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(F)c(F)cc3Cl)cc2)nc2[nH]nc(N)c12	1100.0	136213301.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(F)c(F)cc3F)cc2)nc2[nH]nc(N)c12	690.0	136213303.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(F)cc(F)c3Cl)cc2)nc2[nH]nc(N)c12	1400.0	136213310.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cc(F)ccc3F)cc2)nc2[nH]nc(N)c12	170.0	86268785.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3ccc(F)cc3Cl)cc2)nc2[nH]nc(N)c12	950.0	136213296.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cccc(Cl)c3F)cc2)nc2[nH]nc(N)c12	420.0	136213302.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3cccc(F)c3Cl)cc2)nc2[nH]nc(N)c12	330.0	136213300.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3ccccc3Cl)cc2)nc2[nH]nc(N)c12	480.0	136213294.0
CC(C)COc1nc(-c2ccc(NS(=O)(=O)c3ccccc3F)cc2)nc2[nH]nc(N)c12	290.0	136213305.0
